FIPS,ISO2,ISO3,UN,NAME,Coordinate
AJ,AZ,AZE,31,Azerbaijan,"lat: 40.2921179803, lon: 47.5326895553"
AL,AL,ALB,8,Albania,"lat: 41.1422845912, lon: 20.0683841514"
AM,AM,ARM,51,Armenia,"lat: 40.2862004973, lon: 44.9473915019"
BK,BA,BIH,70,Bosnia and Herzegovina,"lat: 44.1681150713, lon: 17.7865309991"
BU,BG,BGR,100,Bulgaria,"lat: 42.7613767152, lon: 25.2315070042"
CY,CY,CYP,196,Cyprus,"lat: 35.0458815895, lon: 33.2217623859"
DA,DK,DNK,208,Denmark,"lat: 55.963397907, lon: 10.0462968075"
EI,IE,IRL,372,Ireland,"lat: 53.1763807059, lon: -8.15057983069"
EN,EE,EST,233,Estonia,"lat: 58.6741361414, lon: 25.5276159945"
AU,AT,AUT,40,Austria,"lat: 47.5929026313, lon: 14.1401917728"
EZ,CZ,CZE,203,Czech Republic,"lat: 49.7428590028, lon: 15.3384118221"
FI,FI,FIN,246,Finland,"lat: 64.500422299, lon: 26.2663706977"
FR,FR,FRA,250,France,"lat: 46.564502139, lon: 2.55195527587"
GG,GE,GEO,268,Georgia,"lat: 42.1763109244, lon: 43.5174484679"
GM,DE,DEU,276,Germany,"lat: 51.1065619193, lon: 10.3936466271"
GR,GR,GRC,300,Greece,"lat: 39.0683212219, lon: 22.9610379833"
HR,HR,HRV,191,Croatia,"lat: 45.0511621486, lon: 16.4117801486"
HU,HU,HUN,348,Hungary,"lat: 47.166502594, lon: 19.413449085"
IC,IS,ISL,352,Iceland,"lat: 64.9975884418, lon: -18.6054667962"
IT,IT,ITA,380,Italy,"lat: 42.7965060418, lon: 12.0723678476"
LG,LV,LVA,428,Latvia,"lat: 56.857534554, lon: 24.9294249471"
BO,BY,BLR,112,Belarus,"lat: 53.5399976559, lon: 28.046787503"
LH,LT,LTU,440,Lithuania,"lat: 55.3356704206, lon: 23.8981221633"
LO,SK,SVK,703,Slovakia,"lat: 48.7075308513, lon: 19.4916510637"
LS,LI,LIE,438,Liechtenstein,"lat: 47.1518476121, lon: 9.55426912972"
MK,MK,MKD,807,North Macedonia,"lat: 41.5996826693, lon: 21.697475751"
MT,MT,MLT,470,Malta,"lat: 35.8905224404, lon: 14.4419214047"
BE,BE,BEL,56,Belgium,"lat: 50.6428512328, lon: 4.6639886769"
LU,LU,LUX,442,Luxembourg,"lat: 49.770627962, lon: 6.08781362543"
MJ,ME,MNE,499,Montenegro,"lat: 42.7913240316, lon: 19.253240468"
NL,NL,NLD,528,Netherlands,"lat: 52.2489010985, lon: 5.60252076781"
NO,NO,NOR,578,Norway,"lat: 64.4478377567, lon: 14.0845236449"
PL,PL,POL,616,Poland,"lat: 52.1246098981, lon: 19.4008838477"
PO,PT,PRT,620,Portugal,"lat: 39.6009946814, lon: -8.56273056851"
RO,RO,ROU,642,Romania,"lat: 45.8436147469, lon: 24.9692584847"
MD,MD,MDA,498,Republic of Moldova,"lat: 47.1938708614, lon: 28.4739305894"
SI,SI,SVN,705,Slovenia,"lat: 46.1235634028, lon: 14.8265364091"
SP,ES,ESP,724,Spain,"lat: 40.2279885804, lon: -3.64846086641"
SW,SE,SWE,752,Sweden,"lat: 62.7900621032, lon: 16.7397658618"
SZ,CH,CHE,756,Switzerland,"lat: 46.802495577, lon: 8.2343922162"
TU,TR,TUR,792,TÃ¼rkiye,"lat: 39.0604813633, lon: 35.179593397"
UK,GB,GBR,826,United Kingdom,"lat: 54.1553498764, lon: -2.89558426689"
UP,UA,UKR,804,Ukraine,"lat: 49.0170881693, lon: 31.3871146434"
RB,RS,SRB,688,Serbia,"lat: 44.0320459143, lon: 20.8054576928"
